temperature,humidity,wind_speed,rainfall,ndvi,historical_fire,risk
26.236203565420873,28.31939786151342,22.87983513134371,32.4128477038911,0.6762143391579165,0,0
43.52142919229749,27.28851593503999,32.21729317199945,8.619318105258312,0.6498264035305021,1,2
36.95981825434215,73.43782063647257,30.40643719160636,43.619728167740746,0.17660335893068613,1,0
32.959754525911094,27.46823398946543,6.155996187750947,30.655811953462077,0.8380579239246401,1,1
19.680559213273096,29.03648082900417,5.969978789658956,7.8601941778477125,0.5547777617254557,0,0
19.67983561008608,63.15787836925746,10.726974709796533,48.116902874060344,0.39098041690854746,1,0
16.742508365045985,41.481788971537796,14.442989053641488,25.91827316676603,0.7052308667962454,1,0
40.98528437324806,64.36973898686269,16.338223256339305,3.6449225935827503,0.30589236672130726,0,0
33.03345035229626,14.575631029506967,27.18788867333381,31.34164522075336,0.6548078696370563,0,0
36.242177333881365,44.1299835571369,2.267217286633416,12.65994535064051,0.13176896605779778,0,0
15.617534828874074,12.352952012829785,1.3869081690426555,40.18467259386512,0.7715264300874176,0,0
44.097295564859834,14.385724241874817,15.676422517756361,40.891103678309534,0.45853667761705486,1,1
39.97327922401266,73.45062173410876,27.88654768551922,48.94736779273309,0.6093543314863534,0,0
21.370173320348286,19.74717597823166,7.737413718259303,25.093476551225187,0.276990255845347,1,0
20.454749016213018,47.2694477592652,25.660179250250067,22.747843986386858,0.6416589701267583,0,0
20.502135295603015,38.77669218204946,10.393125517611978,37.67378027232403,0.7177922207146213,0,0
24.127267288786133,34.31403283811899,35.44344435254065,6.623532817096328,0.478570549507519,1,1
30.742692948967136,72.98833419810907,35.82759777066466,27.34577568965621,0.5941815392494355,1,0
27.958350559263472,11.527637774284266,11.891488171253059,27.312380006542547,0.4650607390579189,1,1
23.736874205941255,56.46527803229124,9.199750158529621,4.473656140519361,0.8152730954062765,0,0
33.35558684167138,77.43761039494854,16.45215888264925,20.899204275345678,0.4982953444114554,0,0
19.184815819561255,49.211772842328934,9.621263407205948,42.6642399283601,0.7734469672230552,1,0
23.764339456056547,75.57757234231643,26.895353731668145,42.80768109973302,0.7410816466161989,1,0
25.99085529881075,13.658051550021664,33.04258738193142,4.96188324598405,0.4284038570786852,0,1
28.682099526511077,39.31553233519129,26.92368523644868,4.536044137391543,0.28406759348598004,1,1
38.55527884179041,28.21104536734358,32.97401788997398,13.134773850096765,0.4248657060478168,1,1
20.99021346475079,61.157467548651084,15.879686488298965,43.73830312769967,0.7609739006201761,0,0
30.42703315240835,78.69079633480726,6.252678828354434,6.445129253674947,0.28210602865551393,1,0
32.772437065861276,27.957104371097348,29.518037895903685,35.99984013137231,0.5195490766861995,0,0
16.393512381599933,55.79222210318521,14.418980205662155,5.0582809806551605,0.744877398368598,0,0
33.226345557043146,23.86683429318181,26.8508330091653,31.15689268739127,0.38278198010270303,0,0
20.115723710618745,49.57311782001269,10.825757679270627,17.80336495595724,0.6137677096021579,1,0
16.951547789558386,42.47527406818353,3.2491853922669067,39.44569814829335,0.29650525923905163,1,0
43.466566117599996,78.0403730742076,39.70327181951053,11.68452244126818,0.18742355629452795,1,0
43.96896099223678,52.59690908875266,6.248060317223971,31.960091469497993,0.7355073800742851,1,0
39.25192044349383,34.46544604607732,39.536839758539244,11.784126728794247,0.17917489872696546,0,0
24.13841307520112,17.986704942155335,39.09119730265789,35.68301415560769,0.31710511606366765,0,0
17.930163420191516,20.58727801144542,31.752724156321584,43.68390172803744,0.7840875375979521,1,0
35.52699079536471,25.772185096586455,26.3769184832799,6.3400899563380015,0.3771754296629338,1,1
28.20457481218804,27.56766629382086,23.112282010043387,43.329784429775174,0.8784362796113289,1,0
18.661147045343366,69.54312404887965,34.64406181511339,29.678762720714897,0.8837874678190878,1,0
29.855307303338105,49.28559517977674,11.577580864779517,6.355524543351199,0.31462081636284533,0,0
